"Choice_Number","Information","Reward","Subject","Trial","Age"
6,0.623878665667678,0.833333333333333,"YA1",33,20
7,0.543477135768347,0.833333333333333,"YA1",33,20
1,0.746384525111509,0.555555555555556,"YA1",34,20
2,0.693142106611019,0.461538461538462,"YA1",34,20
3,0.749586263278044,0.769230769230769,"YA1",34,20
4,0.830524760814461,0.307692307692308,"YA1",34,20
5,0.844364531768893,0.5,"YA1",34,20
1,0.746586920559252,0.578947368421053,"YA1",35,20
2,0.746095582674597,0.315789473684211,"YA1",35,20
3,0.797077429300744,0.428571428571429,"YA1",35,20
4,0.742812869253586,0.9,"YA1",35,20
5,0.749123917515141,0.75,"YA1",35,20
6,0.666185901038963,1,"YA1",35,20
1,0.746443213089839,0.55,"YA1",36,20
2,0.745876662107124,0.3,"YA1",36,20
3,0.932036962067068,0.380952380952381,"YA1",36,20
4,0.795719316762246,0.454545454545455,"YA1",36,20
5,0.746397477525751,0.909090909090909,"YA1",36,20
6,0.700850450654523,0.769230769230769,"YA1",36,20
7,0.659928536007569,1,"YA1",36,20
1,0.863096034434284,0.363636363636364,"YA1",37,20
2,0.786833955076427,0.285714285714286,"YA1",37,20
3,0.825379950498502,0.75,"YA1",37,20
4,0.73093808260028,0.785714285714286,"YA1",37,20
5,1.02410890811603,0.933333333333333,"YA1",37,20
1,0.862919384216879,0.347826086956522,"YA1",38,20
2,0.732012497128897,0.523809523809524,"YA1",38,20
3,0.837529392698694,0.478260869565217,"YA1",38,20
4,0.745522544403168,0.916666666666667,"YA1",38,20
5,0.752448406168147,0.785714285714286,"YA1",38,20
6,0.653166200759121,1,"YA1",38,20
1,0.745337253741941,0.318181818181818,"YA1",39,20
2,0.96964018627591,0.333333333333333,"YA1",39,20
3,0.836146579730804,0.5,"YA1",39,20
4,0.721470237862516,0.5,"YA1",39,20
5,0.693141173019624,0.428571428571429,"YA1",39,20
6,0.733607102561669,0.6,"YA1",39,20
7,0.729934904115602,1,"YA1",39,20
8,0.737548717416078,0.6,"YA1",39,20
9,0.599117325729723,0.857142857142857,"YA1",39,20
10,0.502731080199994,0.857142857142857,"YA1",39,20
1,0.693065564346877,0.466666666666667,"YA1",40,20
2,0.749286121817947,0.636363636363636,"YA1",40,20
3,0.829528482231265,1,"YA1",40,20
4,0.763585963004979,0.521739130434783,"YA1",40,20
5,0.858201174351172,0.636363636363636,"YA1",40,20
6,0.572982074488749,0.875,"YA1",40,20
7,0.463080455858016,0.875,"YA1",40,20
1,0.862333297514995,0.32,"YA1",41,20
2,0.884640705475715,0.48,"YA1",41,20
3,0.759869483003565,0.304347826086957,"YA1",41,20
4,0.717878658932119,0.8,"YA1",41,20
5,0.804984196047227,0.777777777777778,"YA1",41,20
6,1.03432786470883,0.9375,"YA1",41,20
1,0.864287220976109,0.8125,"YA1",42,20
2,0.693120691857028,0.333333333333333,"YA1",42,20
3,0.836900873098973,0.8,"YA1",42,20
4,0.861617541479919,0.941176470588235,"YA1",42,20
1,0.86493100294641,0.823529411764706,"YA1",43,20
2,0.693099106307857,0.36,"YA1",43,20
3,0.692952445149292,0.541666666666667,"YA1",43,20
4,0.835387565290223,0.555555555555556,"YA1",43,20
5,0.850603690761047,0.357142857142857,"YA1",43,20
1,0.865461438898576,0.833333333333333,"YA1",44,20
2,0.88008149623023,0.307692307692308,"YA1",44,20
3,0.739119119296472,1,"YA1",44,20
4,0.847442236527732,0.944444444444444,"YA1",44,20
5,0.671893133342523,1,"YA1",44,20
1,0.865265927260804,0.789473684210526,"YA1",45,20
2,0.693119527356695,0.346153846153846,"YA1",45,20
3,0.830472821065293,0.6,"YA1",45,20
4,0.689368340309397,0.56,"YA1",45,20
5,0.855230903262282,0.4,"YA1",45,20
1,0.745236071055723,0.333333333333333,"YA1",46,20
2,0.747657490767096,0.576923076923077,"YA1",46,20
3,0.69314390723858,0.5,"YA1",46,20
4,0.730376430269445,0.666666666666667,"YA1",46,20
5,0.749336920084691,1,"YA1",46,20
6,0.859556446057868,0.666666666666667,"YA1",46,20
7,0.546048894262866,0.888888888888889,"YA1",46,20
8,0.425008608535295,0.888888888888889,"YA1",46,20
1,0.865640709864411,0.8,"YA1",47,20
2,0.880734378735744,0.333333333333333,"YA1",47,20
3,0.834447541960117,0.461538461538462,"YA1",47,20
4,0.693092774181585,0.529411764705882,"YA1",47,20
5,0.744763471528344,0.692307692307692,"YA1",47,20
6,0.733909198353873,1,"YA1",47,20
7,0.737852922351714,0.592592592592593,"YA1",47,20
8,0.720818747083181,0.692307692307692,"YA1",47,20
9,0.518745254506688,0.9,"YA1",47,20
10,0.388739316508796,0.9,"YA1",47,20
1,0.861863651449781,0.321428571428571,"YA1",48,20
2,0.884236893911852,0.761904761904762,"YA1",48,20
3,0.693124370363482,0.321428571428571,"YA1",48,20
4,0.93897963697487,0,"YA1",48,20
5,0.852163761007295,0.818181818181818,"YA1",48,20
6,1.29136208610146,0.947368421052632,"YA1",48,20
1,0.861658030116221,0.310344827586207,"YA1",49,20
2,0.88515687654859,0.772727272727273,"YA1",49,20
3,0.834130135838344,0.444444444444444,"YA1",49,20
4,0.817754152569193,0.4375,"YA1",49,20
5,0.69301994181874,0.555555555555556,"YA1",49,20
6,0.79515135955122,0.607142857142857,"YA1",49,20
7,0.819547692296658,0.714285714285714,"YA1",49,20
8,0.712604588739481,0.714285714285714,"YA1",49,20
9,0.609435081263521,1,"YA1",49,20
10,0.354345753782914,0.909090909090909,"YA1",49,20
11,0.265005176322772,0.909090909090909,"YA1",49,20
1,0.861444408294574,0.3,"YA1",50,20
2,0.884876936642035,0.739130434782609,"YA1",50,20
3,0.833800280060186,0.428571428571429,"YA1",50,20
4,0.817302842403413,0.411764705882353,"YA1",50,20
5,0.692988341348729,0.578947368421053,"YA1",50,20
6,0.79715082235104,0.733333333333333,"YA1",50,20
7,0.742780576276227,1,"YA1",50,20
8,0.807112921384108,0.620689655172414,"YA1",50,20
9,0.585864352061851,0.733333333333333,"YA1",50,20
10,0.321814631788696,0.916666666666667,"YA1",50,20
11,0.237956604470915,0.916666666666667,"YA1",50,20
1,0.861223461643931,0.290322580645161,"YA1",51,20
2,0.884587342790261,0.708333333333333,"YA1",51,20
3,0.693095093355779,0.344827586206897,"YA1",51,20
4,0.851193353634763,0.833333333333333,"YA1",51,20
5,1.05568171687786,0.95,"YA1",51,20
1,0.861009956277385,0.28125,"YA1",52,20
2,0.885539986126402,0.72,"YA1",52,20
3,0.833459026356748,0.413793103448276,"YA1",52,20
4,0.807842114803379,0.923076923076923,"YA1",52,20
5,0.753833006370563,0.8,"YA1",52,20
6,0.645942207728172,1,"YA1",52,20
1,0.860782315754292,0.272727272727273,"YA1",53,20
2,0.829885016012414,1,"YA1",53,20
3,0.852219189203352,0.952380952380952,"YA1",53,20
4,0.666185901038963,1,"YA1",53,20
